EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Minutes,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,OffTwoPtRebounds,OffRebounds,BlockedShortMidRange,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,Fg2aBlocked,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,DeadBallTurnovers,Charge Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,RecoveredBlocks,BlocksRecoveredPct,LostBallOutOfBoundsTurnovers,Travels,StepOutOfBoundsTurnovers,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,BlockingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,PtsUnassisted3s,Offensive Fouls Drawn,HeaveAttempts,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockedArc3,LongMidRangePctBlocked,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1497-201943-202713-202725-2746,1610612765,"Chauncey Billups, Brandon Jennings, Kyle Singler, Josh Harrellson, Josh Smith","Billups, Jennings, Singler, Harrellson, Smith",1497-201943-202713-202725-2746,DET,91.0,2,-1.0,3.0,4.0,7.0,,,2.0,3.0,,4.0,,,,,,1.0,1.0,1.0,1.0,,,,4.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,,110.76923076923077,14.333333333333334,12.0,14.333333333333334,11.75,,,,,0.7664333333333334,,,0.5,2.0,2.0,3.0,,,,,,5.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.5,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,1.0,,,,,,,,,3.0,4.0,,,,3.0,,,,,,,,,2.0,3.0,,,,4.0,4.0,,,,,,,,,,,,4.0,3.0,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,,,,,,,,,,1.0,,,,0.7664333333333334,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-201943-202713-203083-203484,1610612765,"Chauncey Billups, Brandon Jennings, Kyle Singler, Andre Drummond, Kentavious Caldwell-Pope","Billups, Jennings, Singler, Drummond, Caldwell-Pope",1497-201943-202713-203083-203484,DET,232.0,1,-1.0,7.0,6.0,13.0,2.0,2.0,3.0,6.0,,6.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,,,,,6.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.5,,80.6896551724138,15.0,21.166666666666668,15.0,20.333333333333332,0.3333333333333333,1.0,1.0,1.0,0.5176666666666666,,,8.75,4.0,1.0,2.0,2.0,,,,,7.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,0.3333333333333333,1.0,,0.3333333333333333,0.5,1.0,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-201943-202713-203083-2746,1610612765,"Chauncey Billups, Brandon Jennings, Kyle Singler, Andre Drummond, Josh Smith","Billups, Jennings, Singler, Drummond, Smith",1497-201943-202713-203083-2746,DET,453.0,3,1.0,16.0,16.0,32.0,1.0,4.0,4.0,12.0,2.0,16.0,6.0,3.0,5.0,1.0,12.0,3.0,7.0,9.0,1.0,,2.0,1.0,13.0,0.75,0.75,0.3333333333333333,0.5,0.5333333333333333,0.75,0.8571428571428571,1.0,101.72185430463577,15.375,12.9375,14.75,12.9375,0.2857142857142857,0.25,0.25,1.0,0.4885785714285714,0.06666666666666667,0.07692307692307693,9.041666666666666,8.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,15.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.14285714285714285,,1.0,,1.0,,0.35714285714285715,0.4,0.6666666666666666,1.0,0.21428571428571427,0.14285714285714285,1.0,1.0,1.0,0.5,1.0,26.6,2.0,2.0,,0.25,0.25,0.3333333333333333,7.0,5.0,3.0,,1.0,2.0,1.0,,,,,,1.0,3.0,,5.0,,,,,2.0,,,,,1.0,,,,1.0,,,,7.0,,,,0.75,,0.75,,1.0,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,0.5,,0.4,,,0.5439,0.46986,0.1875,,0.4375,,,1.0,1.0,1.0,1.0,,2.0,,,,1.0,0.16666666666666666,0.4,,0.5,1.0,1.0,,,,,1.0,,,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-201973-202725-203484-2746,1610612765,"Chauncey Billups, Jonas Jerebko, Josh Harrellson, Kentavious Caldwell-Pope, Josh Smith","Billups, Jerebko, Harrellson, Caldwell-Pope, Smith",1497-201973-202725-203484-2746,DET,38.0,1,,1.0,2.0,3.0,,,,,2.0,2.0,,,,,,,,,1.0,,2.0,1.0,2.0,,,,,1.0,,,,113.6842105263158,17.0,10.5,17.0,10.5,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-201973-203484-203502-2746,1610612765,"Chauncey Billups, Jonas Jerebko, Kentavious Caldwell-Pope, Tony Mitchell, Josh Smith","Billups, Jerebko, Caldwell-Pope, Mitchell, Smith",1497-201973-203484-203502-2746,DET,153.0,1,-2.0,5.0,5.0,10.0,,3.0,1.0,5.0,1.0,3.0,,,,,,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,,,0.2,0.2,0.25,0.5,0.5,1.0,94.11764705882354,15.6,15.0,15.4,15.0,0.6,,,,0.44997999999999994,0.16666666666666666,0.16666666666666666,12.36,3.0,1.0,2.0,,,,,,5.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.4,0.5,0.5,,,,,,,0.4,,,1.0,1.0,,0.25,0.25,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,0.6705,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-202328-202713-202725-2746,1610612765,"Chauncey Billups, Greg Monroe, Kyle Singler, Josh Harrellson, Josh Smith","Billups, Monroe, Singler, Harrellson, Smith",1497-202328-202713-202725-2746,DET,141.0,1,-1.0,4.0,5.0,9.0,,2.0,1.0,6.0,,2.0,,,,,,,4.0,7.0,1.0,,,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,,1.0,,91.91489361702128,17.0,14.6,13.25,14.6,0.3333333333333333,,,,0.5613166666666667,,,7.166666666666667,2.0,1.0,4.0,,,,,,3.0,,,,,,,4.0,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,1.0,1.0,,1.0,,0.6666666666666666,0.25,0.3333333333333333,,,,,,,0.6666666666666666,,,3.0,3.0,,0.6,0.6,0.6666666666666666,,4.0,3.0,1.0,2.0,,,,,,,1.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,0.5,,0.5,,0.5,,,,,,,,,,,,,,1.0,0.5,,,,0.61935,,1.0,,,,,,,,,,1.0,,,,,0.16666666666666666,0.25,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-202328-202713-203484-2746,1610612765,"Chauncey Billups, Greg Monroe, Kyle Singler, Kentavious Caldwell-Pope, Josh Smith","Billups, Monroe, Singler, Caldwell-Pope, Smith",1497-202328-202713-203484-2746,DET,257.0,1,-1.0,10.0,9.0,19.0,,1.0,3.0,7.0,1.0,10.0,4.0,2.0,3.0,,7.0,1.0,2.0,3.0,2.0,,1.0,1.0,8.0,0.6666666666666666,1.0,0.42857142857142855,0.5,0.5555555555555556,1.0,0.5,1.0,106.4591439688716,15.9,10.88888888888889,15.8,10.88888888888889,0.1111111111111111,,,,0.60805,0.1111111111111111,0.14285714285714285,3.4,4.0,3.0,5.0,1.0,,1.0,1.0,2.0,11.0,3.0,1.0,,1.0,,2.0,1.0,,,3.0,1.0,2.0,3.0,1.0,4.0,,,,1.0,0.5,0.5,0.2222222222222222,1.0,0.3333333333333333,,,1.0,0.5555555555555556,0.6,0.75,0.6666666666666666,0.1111111111111111,0.1111111111111111,,,,0.7777777777777778,,31.25,1.0,1.0,,0.25,0.25,,3.0,8.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,,1.0,3.0,2.0,2.0,1.0,,,,,,,1.0,,,3.0,3.0,,1.0,0.5,1.0,0.5,1.0,0.75,,,,,,,,,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.5,,,0.6337,0.5425,0.2,0.3,0.3,1.0,,,,,,,2.0,1.0,,1.0,,0.2857142857142857,0.2,,,,,1.0,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-202328-203083-203484-2746,1610612765,"Chauncey Billups, Greg Monroe, Andre Drummond, Kentavious Caldwell-Pope, Josh Smith","Billups, Monroe, Drummond, Caldwell-Pope, Smith",1497-202328-203083-203484-2746,DET,338.0,1,-1.0,10.0,10.0,20.0,2.0,4.0,4.0,6.0,,14.0,8.0,4.0,6.0,2.0,14.0,1.0,1.0,3.0,2.0,,,,12.0,1.0,1.0,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.5,0.3333333333333333,,85.20710059171597,16.8,17.0,16.0,16.7,0.36363636363636365,0.5,0.5,1.0,0.5122181818181818,,,15.366666666666667,6.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,15.0,6.0,4.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,3.0,,,,1.0,0.4,0.4,0.45454545454545453,1.0,,,,,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,0.36363636363636365,0.25,0.25,1.0,0.5454545454545454,0.25,25.639999999999997,1.0,2.0,,0.5,0.4,,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,2.0,,,,4.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,4.0,2.0,,1.0,1.0,0.5,1.0,0.5,1.0,,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.5,1.0,,,,0.5703,0.3947,0.14285714285714285,0.2857142857142857,0.2,,,,1.0,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-202713-202725-203083-203484,1610612765,"Chauncey Billups, Kyle Singler, Josh Harrellson, Andre Drummond, Kentavious Caldwell-Pope","Billups, Singler, Harrellson, Drummond, Caldwell-Pope",1497-202713-202725-203083-203484,DET,207.0,1,2.0,6.0,5.0,11.0,,1.0,2.0,5.0,2.0,6.0,4.0,2.0,2.0,,4.0,2.0,4.0,7.0,2.0,,4.0,2.0,4.0,1.0,1.0,0.4,0.4,0.42857142857142855,0.5,0.5,,76.52173913043478,15.833333333333334,22.4,11.833333333333334,22.2,0.2,,,,0.56322,0.2857142857142857,0.2857142857142857,4.5200000000000005,3.0,2.0,3.0,1.0,,,,,4.0,,,,,,2.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,0.5,0.3333333333333333,0.5,,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,,0.6,,,3.0,3.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,0.5,,,,,,,,1.0,1.0,,,,0.7041,,0.3333333333333333,,,,,,,,,,1.0,,,,,0.2,,,,,,,,,,2.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-202713-202725-203484-203540,1610612765,"Chauncey Billups, Kyle Singler, Josh Harrellson, Kentavious Caldwell-Pope, Gigi Datome","Billups, Singler, Harrellson, Caldwell-Pope, Datome",1497-202713-202725-203484-203540,DET,170.0,1,,6.0,7.0,13.0,,,3.0,6.0,1.0,7.0,4.0,2.0,2.0,,4.0,2.0,3.0,5.0,1.0,,2.0,1.0,4.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.6,0.5,110.11764705882352,10.333333333333334,15.428571428571429,9.666666666666666,12.857142857142858,,,,,0.5608,0.14285714285714285,0.14285714285714285,3.783333333333333,3.0,1.0,3.0,3.0,,,,,7.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,0.5,1.0,,0.5,0.3333333333333333,0.5,1.0,0.5,,,,,0.5,,,2.0,2.0,,0.6666666666666666,0.6666666666666666,0.5,6.0,,2.0,1.0,1.0,3.0,2.0,,,,,1.0,1.0,3.0,3.0,6.0,,,1.0,7.0,2.0,,,1.0,,,,,,1.0,,,7.0,6.0,,1.0,0.5,1.0,0.5,0.75,0.5,,,,,,0.6666666666666666,1.0,0.5,,,,,1.0,1.0,0.5,,,0.688,0.5608,0.42857142857142855,1.0,1.0,1.0,,,,,,1.0,2.0,,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
1497-202713-202725-203484-2746,1610612765,"Chauncey Billups, Kyle Singler, Josh Harrellson, Kentavious Caldwell-Pope, Josh Smith","Billups, Singler, Harrellson, Caldwell-Pope, Smith",1497-202713-202725-203484-2746,DET,81.0,1,-2.0,2.0,3.0,5.0,,,,1.0,2.0,2.0,,,,,,1.0,1.0,2.0,2.0,,4.0,1.0,2.0,,,,,0.3333333333333333,1.0,1.0,,88.88888888888889,9.5,20.666666666666668,8.5,20.666666666666668,,,,,0.3827,0.5,0.5,6.6,1.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3827,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
201155-201943-201973-202328-202713,1610612765,"Rodney Stuckey, Brandon Jennings, Jonas Jerebko, Greg Monroe, Kyle Singler","Stuckey, Jennings, Jerebko, Monroe, Singler",201155-201943-201973-202328-202713,DET,2064.0,15,5.0,68.0,68.0,136.0,4.0,8.0,24.0,43.0,13.0,76.0,30.0,15.0,20.0,3.0,45.0,16.0,20.0,29.0,12.0,,18.0,8.0,67.0,0.625,0.6818181818181818,0.5581395348837209,0.5338983050847458,0.5681818181818182,0.6956521739130435,0.5666666666666667,0.8571428571428571,94.88372093023256,15.426470588235293,14.926470588235293,14.411764705882353,13.647058823529411,0.13559322033898305,0.5,0.5714285714285714,0.75,0.5108775862068966,0.125,0.16666666666666666,6.267441860465116,34.0,16.0,24.0,11.0,5.0,13.0,5.0,16.0,71.0,15.0,12.0,5.0,5.0,5.0,11.0,1.0,12.0,5.0,8.0,6.0,2.0,12.0,7.0,14.0,5.0,3.0,5.0,1.0,0.3125,0.3333333333333333,0.2711864406779661,0.6666666666666666,0.14285714285714285,0.7142857142857143,0.16666666666666666,,0.4067796610169492,0.6666666666666666,0.6956521739130435,0.6875,0.1864406779661017,0.22033898305084745,0.38461538461538464,0.38461538461538464,1.0,0.6779661016949152,0.4166666666666667,25.9,5.0,9.0,2.0,0.2777777777777778,0.2962962962962963,0.5,34.0,24.0,10.0,4.0,5.0,9.0,4.0,,3.0,2.0,8.0,4.0,6.0,9.0,10.0,20.0,2.0,11.0,7.0,33.0,18.0,4.0,,1.0,3.0,3.0,2.0,7.0,1.0,5.0,,,33.0,34.0,0.18181818181818182,0.6666666666666666,0.5,0.4444444444444444,0.41935483870967744,0.5,0.4583333333333333,1.0,0.3333333333333333,0.16666666666666666,0.5555555555555556,0.08695652173913043,0.36363636363636365,0.5,0.25,0.05084745762711865,,,,0.5555555555555556,0.8,0.2903225806451613,0.25806451612903225,0.25,0.49640833333333334,0.5020916666666666,0.11842105263157894,0.4342105263157895,0.5,6.0,3.0,,2.0,,3.0,1.0,5.0,2.0,,3.0,,0.11627906976744186,0.041666666666666664,0.6666666666666666,0.2222222222222222,,,0.6666666666666666,0.0967741935483871,,1.0,4.0,,1.0,2.0,,0.25,0.1111111111111111,,,,2.0,0.4,1.0,,,1.0,1.0,,2.0,2.0,2.0,0.2727272727272727,,,,1.0,1.0,1.0,,,,1.0,0.2,,,,,,,,,0.125,,,1610612765,2014,2013-14,True
201155-201943-201973-202328-203083,1610612765,"Rodney Stuckey, Brandon Jennings, Jonas Jerebko, Greg Monroe, Andre Drummond","Stuckey, Jennings, Jerebko, Monroe, Drummond",201155-201943-201973-202328-203083,DET,419.0,2,-2.0,14.0,14.0,28.0,3.0,5.0,5.0,8.0,,10.0,8.0,4.0,4.0,3.0,8.0,4.0,5.0,7.0,,,,,8.0,0.8,1.0,0.625,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,96.22911694510739,12.571428571428571,17.357142857142858,12.071428571428571,17.142857142857142,0.4166666666666667,0.6,0.6,1.0,0.5139625,,,12.05,7.0,2.0,3.0,,,3.0,,4.0,12.0,,3.0,,,,1.0,1.0,2.0,,3.0,3.0,,4.0,2.0,2.0,,,,,,,0.3333333333333333,0.75,1.0,1.0,1.0,,0.25,0.6666666666666666,0.6666666666666666,0.5,,0.25,,,,0.5833333333333334,,26.475,1.0,2.0,,0.3333333333333333,0.3333333333333333,1.0,,4.0,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,2.0,,,,,,,2.0,2.0,,,1.0,,,2.0,,,,,,,,1.0,,0.5,,0.5,,,0.3333333333333333,,1.0,,,,,0.08333333333333333,,,,0.5,1.0,,,,0.6031,,0.2,,,,,,1.0,,1.0,,,,,,,,,1.0,0.5,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
201155-201943-201973-202328-203484,1610612765,"Rodney Stuckey, Brandon Jennings, Jonas Jerebko, Greg Monroe, Kentavious Caldwell-Pope","Stuckey, Jennings, Jerebko, Monroe, Caldwell-Pope",201155-201943-201973-202328-203484,DET,619.0,7,6.0,24.0,23.0,47.0,1.0,2.0,6.0,13.0,3.0,24.0,4.0,2.0,4.0,,10.0,5.0,9.0,11.0,3.0,1.0,6.0,3.0,22.0,0.3333333333333333,0.4,0.46153846153846156,0.5833333333333334,0.5714285714285714,0.625,0.6428571428571429,1.0,109.33764135702747,11.75,14.652173913043478,11.541666666666666,13.91304347826087,0.1111111111111111,0.5,0.5,,0.48743611111111107,0.14285714285714285,0.1875,6.699999999999999,10.0,3.0,6.0,5.0,3.0,5.0,3.0,5.0,18.0,6.0,5.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,2.0,0.6666666666666666,0.6,0.6,0.2777777777777778,0.75,0.6666666666666666,0.5,0.8,,0.3333333333333333,0.5,0.6,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.6,0.6,0.6666666666666666,0.6111111111111112,0.6,26.04,2.0,2.0,1.0,0.2857142857142857,0.2222222222222222,0.3333333333333333,2.0,7.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,2.0,2.0,1.0,2.0,,,2.0,4.0,8.0,2.0,,1.0,,,,1.0,,,,,4.0,2.0,,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,,,,0.6666666666666666,,0.4,0.4,0.5,,,,,0.5,1.0,0.5,,,0.497,0.48585,0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,,,,,,,1.0,,,,,0.07692307692307693,0.16666666666666666,,,,,1.0,,,,1.0,,,,0.3333333333333333,,,,,,1.0,0.5,,,1.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
201155-201943-201973-202328-203540,1610612765,"Rodney Stuckey, Brandon Jennings, Jonas Jerebko, Greg Monroe, Gigi Datome","Stuckey, Jennings, Jerebko, Monroe, Datome",201155-201943-201973-202328-203540,DET,33.0,1,3.0,1.0,1.0,2.0,,,,,,3.0,,,,,,1.0,1.0,1.0,,,,,3.0,,,,1.5,1.5,1.0,1.0,,87.27272727272727,7.0,26.0,7.0,26.0,,,,,0.5184,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,26.3,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,3.0,1.0,1.0,,,,1.5,,1.5,,,,1.0,,,,,,,,,,,,1.0,1.0,,0.5184,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,True
